event_id,basin_id,basin_name,event_type,start_date,end_date,duration_months,peak_intensity,mean_intensity,total_intensity,lag_month,from_event_type,to_event_type,start_year,start_month,end_year,end_month
EVT00152,hanjiang,汉江流域,drought,2006-03-01,2006-03-01,1,2.497454483724734,2.497454483724734,2.497454483724734,,,,2006,3,2006,3
EVT00153,hanjiang,汉江流域,drought,2006-06-01,2006-06-01,1,4.303575196523443,4.303575196523443,4.303575196523443,,,,2006,6,2006,6
EVT00154,hanjiang,汉江流域,drought,2006-08-01,2006-08-01,1,2.031190648628866,2.031190648628866,2.031190648628866,,,,2006,8,2006,8
EVT00155,hanjiang,汉江流域,drought,2006-11-01,2006-11-01,1,2.50463627041811,2.50463627041811,2.50463627041811,,,,2006,11,2006,11
EVT00156,hanjiang,汉江流域,FTD,2007-02-01,2007-04-01,3,4.210862094142979,4.210862094142979,4.210862094142979,2,flood_or_wet,drought,2007,2,2007,4
EVT00157,hanjiang,汉江流域,drought,2007-02-01,2007-02-01,1,1.2267641156575944,1.2267641156575944,1.2267641156575944,,,,2007,2,2007,2
EVT00158,hanjiang,汉江流域,flood_or_wet,2007-02-01,2007-02-01,1,1.9352964627708564,1.9352964627708564,1.9352964627708564,,,,2007,2,2007,2
EVT00159,hanjiang,汉江流域,drought,2007-04-01,2007-05-01,2,2.7933194568694706,2.5344425441207967,5.0688850882415935,,,,2007,4,2007,5
EVT00160,hanjiang,汉江流域,DTF,2007-05-01,2007-07-01,3,6.718256866710632,6.718256866710632,6.718256866710632,2,drought,flood_or_wet,2007,5,2007,7
EVT00161,hanjiang,汉江流域,FTD,2007-07-01,2007-09-01,3,6.022550041337497,6.022550041337497,6.022550041337497,2,flood_or_wet,drought,2007,7,2007,9
EVT00162,hanjiang,汉江流域,flood_or_wet,2007-07-01,2007-07-01,1,3.924937409841162,3.924937409841162,3.924937409841162,,,,2007,7,2007,7
EVT00163,hanjiang,汉江流域,drought,2007-09-01,2007-09-01,1,2.097612631496335,2.097612631496335,2.097612631496335,,,,2007,9,2007,9
EVT00164,hanjiang,汉江流域,drought,2007-11-01,2007-11-01,1,3.196981247900232,3.196981247900232,3.196981247900232,,,,2007,11,2007,11
EVT00165,hanjiang,汉江流域,drought,2008-03-01,2008-03-01,1,1.4749531517511207,1.4749531517511207,1.4749531517511207,,,,2008,3,2008,3
EVT00166,hanjiang,汉江流域,drought,2008-05-01,2008-06-01,2,2.590691734850646,2.449570684124172,4.899141368248344,,,,2008,5,2008,6
EVT00167,hanjiang,汉江流域,DTF,2008-06-01,2008-08-01,3,4.198953981660768,4.198953981660768,4.198953981660768,2,drought,flood_or_wet,2008,6,2008,8
